time,delta_generator-1-1,omega_generator-1-1,delta_generator-2-1,omega_generator-2-1,delta_generator-3-1,omega_generator-3-1,delta_generator-6-1,omega_generator-6-1,delta_generator-8-1,omega_generator-8-1
3.94,0.16836457620210485,1.0000265364413061,0.21155941350416355,1.0000170442475633,0.04478836874666617,0.9999314453748196,0.15103097573647956,0.9999980709884986,0.025107363864855424,0.9999412259491701
3.95,0.16836457620210485,1.0000411448680426,0.21148756199961116,1.0000125199729644,0.04440227679147856,0.9999314260893454,0.15088727881644404,0.9999933818932282,0.024766066854559732,0.9999454102327766
3.96,0.16836457620210485,1.0000554875428354,0.2113440321259635,1.0000079640231883,0.04396199850564205,0.9999316725271732,0.1506714770442565,0.9999887693950102,0.0243864224535518,0.9999498566106959
3.97,0.16836457620210485,1.0000694905021523,0.21112985544174148,1.0000034004511738,0.04346964520649791,0.9999321742762671,0.15038503207026843,0.9999842701427568,0.023970521550803665,0.9999545501367357
3.98,0.16836457620210485,1.000083080941089,0.21084645340125288,0.9999988506011697,0.04292759914521463,0.9999329186876684,0.15002984977615427,0.9999799178581215,0.02352070796127869,0.9999594736096485
3.99,0.16836457620210485,1.0000961895034421,0.2104955965932368,0.9999943319325976,0.04233844271744925,0.999933891034714,0.14960822656612854,0.9999757415199988,0.0230395077442333,0.9999646077534216
4.0,0.16836457620210485,1.000108738507958,0.21007976925535135,0.9999898596840323,0.04170544810922011,0.9999350711116546,0.14912331495323183,0.9999717686017352,0.02253010413432907,0.9999699268849742
4.01,0.16836457620210485,1.0001206719183098,0.2096011529756884,0.9999854409523022,0.041031273476081785,0.9999364411795962,0.14857784090640083,0.9999680142575385,0.02199506879165649,0.9999754088569147
4.02,0.16836457620210485,1.0001319347550142,0.20906217185082773,0.9999810794275963,0.04031874738565938,0.9999379819118643,0.14797480777911262,0.9999644892925308,0.0214371250682751,0.9999810289080314
4.03,0.16836457620210485,1.000142466840866,0.208465745982849,0.9999767757453288,0.03957118267945942,0.9999396719958943,0.14731781152381102,0.999961201218939,0.020859442836708448,0.999986756832571
4.04,0.16836457620210485,1.0001522168807757,0.20781465210714012,0.9999725272145233,0.038791647968548976,0.9999414944462824,0.1466102478891061,0.9999581515728119,0.020264926961091955,0.999992563419313
4.05,0.16836457620210485,1.0001611266000607,0.2071123662625412,0.9999683289673398,0.037983916903582826,0.9999434323207187,0.14585633602280593,0.9999553366161261,0.01965709817376176,0.999998411383441
4.06,0.16836457620210485,1.0001691440889013,0.20636234435522313,0.9999641776111409,0.03715168312801561,0.9999454735722327,0.14506022112957398,0.9999527477864808,0.019039325157010248,1.0000042627078014
4.07,0.16836457620210485,1.000176219680263,0.2055682795443751,0.9999600726227561,0.03629884522265694,0.9999476094024118,0.14422626516496034,0.9999503728436939,0.018415066946126084,1.0000100757671662
4.08,0.16836457620210485,1.000182307784498,0.20473400995056223,0.9999560179410331,0.035429407021318346,0.9999498344727378,0.1433589110526426,0.9999481982343088,0.01778775555161728,1.0000158067843068
4.09,0.16836457620210485,1.0001873669232701,0.20386354317444252,0.9999520219888645,0.03454750079987305,0.9999521457833406,0.14246269396127362,0.9999462108817717,0.01716079974724722,1.0000214102943759
4.1,0.16836457620210485,1.0001913597276508,0.20296105307934653,0.9999480968395248,0.03365738235901382,0.9999545416670521,0.14154223734526847,0.9999443993243942,0.0165375828529558,1.0000268400694787
4.11,0.16836457620210485,1.0001942542862792,0.20203091038373855,0.9999442581761708,0.032763444893050504,0.9999570211842391,0.14060226470762172,0.9999427547310065,0.01592144438256579,1.000032049946349
